ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9552596,HX204707,03/30/2014 06:55:00 PM,005XX W 63RD ST,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,FALSE,TRUE,711,7,20,68,04A,1173583,1863128,2014,02/04/2016 06:33:39 AM,41.77983846,-87.63916618,"(41.779838458, -87.639166183)"
9552621,HX204855,03/30/2014 09:18:00 PM,056XX S NEWCASTLE AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,811,8,23,56,08A,1131683,1866409,2014,02/04/2016 06:33:39 AM,41.78966763,-87.79270444,"(41.789667628, -87.792704438)"
9552623,HX204869,03/30/2014 09:15:00 PM,046XX W MC LEAN AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,2522,25,31,19,08A,1145027,1913219,2014,02/04/2016 06:33:39 AM,41.9178798,-87.74259428,"(41.917879796, -87.742594281)"
9552626,HX204859,03/30/2014 09:30:00 PM,072XX S PHILLIPS AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,334,3,7,43,08A,1193747,1857423,2014,02/04/2016 06:33:39 AM,41.76371308,-87.56543009,"(41.763713079, -87.565430089)"
9552651,HX204856,03/30/2014 09:05:00 PM,100XX S MICHIGAN AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,GAS STATION,TRUE,FALSE,511,5,9,49,04A,1178989,1838582,2014,02/04/2016 06:33:39 AM,41.7123599,-87.62009309,"(41.712359904, -87.62009309)"
9552660,HX204891,03/30/2014 09:43:00 PM,030XX W BELMONT AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,TAXICAB,TRUE,FALSE,1733,17,33,21,04A,1155737,1921124,2014,02/04/2016 06:33:39 AM,41.93936254,-87.70303151,"(41.939362537, -87.703031512)"
9552712,HX204974,03/30/2014 11:51:00 PM,067XX S NORMAL BLVD,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,722,7,6,68,08A,1174117,1860000,2014,02/04/2016 06:33:39 AM,41.77124303,-87.63730129,"(41.771243027, -87.637301288)"
9552718,HX204988,03/30/2014 11:00:00 PM,098XX S HALSTED ST,560,ASSAULT,SIMPLE,GAS STATION,FALSE,FALSE,2223,22,21,73,08A,1172709,1839741,2014,02/04/2016 06:33:39 AM,41.71568082,-87.64305821,"(41.715680818, -87.643058205)"
9552725,HX204953,03/30/2014 02:10:00 PM,039XX N SHERIDAN RD,560,ASSAULT,SIMPLE,CTA PLATFORM,FALSE,FALSE,1923,19,44,6,08A,1168891,1926517,2014,02/04/2016 06:33:39 AM,41.95388558,-87.65453007,"(41.953885576, -87.65453007)"
9552726,HX204942,03/30/2014 10:51:00 PM,056XX W LAWRENCE AVE,560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1622,16,45,15,08A,1137846,1931351,2014,02/04/2016 06:33:39 AM,41.96776856,-87.76853905,"(41.967768561, -87.768539047)"
